"","delta","TWFE","TWFE (drops)","Callaway-Sant'Anna","name","se"
"109",-0.025,-0.0256795510738313,-0.0243284263665916,-0.0201066376367004,"TWFE (drops) Robust SE",0.00672002290217992
"110",-0.025,-0.0256795510738313,-0.0243284263665916,-0.0201066376367004,"Callaway-Sant'Anna SE",0.0123751703856483
"111",-0.025,-0.0248324973187356,-0.0261909721576752,-0.0415892064198972,"TWFE Clustered SE",0.00434060573110223
"112",-0.025,-0.0248324973187356,-0.0261909721576752,-0.0415892064198972,"TWFE Robust SE",0.00440946990684034
"113",-0.025,-0.0248324973187356,-0.0261909721576752,-0.0415892064198972,"TWFE (drops) Clustered SE",0.00608644435823876
"114",-0.025,-0.0248324973187356,-0.0261909721576752,-0.0415892064198972,"TWFE (drops) Robust SE",0.00676947255666754
"115",-0.025,-0.0248324973187356,-0.0261909721576752,-0.0415892064198972,"Callaway-Sant'Anna SE",0.012589766394375
"116",-0.025,-0.0265561999290629,-0.0185713402853166,-0.0313915217989494,"TWFE Clustered SE",0.00366370762493837
"117",-0.025,-0.0265561999290629,-0.0185713402853166,-0.0313915217989494,"TWFE Robust SE",0.0043929309229301
"118",-0.025,-0.0265561999290629,-0.0185713402853166,-0.0313915217989494,"TWFE (drops) Clustered SE",0.00535001973658803
"119",-0.025,-0.0265561999290629,-0.0185713402853166,-0.0313915217989494,"TWFE (drops) Robust SE",0.00674437081022458
"120",-0.025,-0.0265561999290629,-0.0185713402853166,-0.0313915217989494,"Callaway-Sant'Anna SE",0.0126824133277761
"121",-0.025,-0.0202149118737591,-0.0224177230025797,-0.0368448985653112,"TWFE Clustered SE",0.00390759736738112
"122",-0.025,-0.0202149118737591,-0.0224177230025797,-0.0368448985653112,"TWFE Robust SE",0.00439201938903397
"123",-0.025,-0.0202149118737591,-0.0224177230025797,-0.0368448985653112,"TWFE (drops) Clustered SE",0.00554595088637173
"124",-0.025,-0.0202149118737591,-0.0224177230025797,-0.0368448985653112,"TWFE (drops) Robust SE",0.00672989776371048
"125",-0.025,-0.0202149118737591,-0.0224177230025797,-0.0368448985653112,"Callaway-Sant'Anna SE",0.0127575844565853
"126",-0.025,-0.0237050471654943,-0.0217934130892251,0.0134784912469853,"TWFE Clustered SE",0.00544591157377852
"127",-0.025,-0.0237050471654943,-0.0217934130892251,0.0134784912469853,"TWFE Robust SE",0.00439066379589501
"128",-0.025,-0.0237050471654943,-0.0217934130892251,0.0134784912469853,"TWFE (drops) Clustered SE",0.00659279639673481
"129",-0.025,-0.0237050471654943,-0.0217934130892251,0.0134784912469853,"TWFE (drops) Robust SE",0.00672627095571924
"130",-0.025,-0.0237050471654943,-0.0217934130892251,0.0134784912469853,"Callaway-Sant'Anna SE",0.0123447721175611
"131",-0.025,-0.0239287755900134,-0.0241683069194529,-0.0105211726744673,"TWFE Clustered SE",0.00633979864162678
"132",-0.025,-0.0239287755900134,-0.0241683069194529,-0.0105211726744673,"TWFE Robust SE",0.00438788262494633
"133",-0.025,-0.0239287755900134,-0.0241683069194529,-0.0105211726744673,"TWFE (drops) Clustered SE",0.00752160299645231
"134",-0.025,-0.0239287755900134,-0.0241683069194529,-0.0105211726744673,"TWFE (drops) Robust SE",0.00671519706784483
"135",-0.025,-0.0239287755900134,-0.0241683069194529,-0.0105211726744673,"Callaway-Sant'Anna SE",0.012345407713522
"136",-0.025,-0.0232931183739738,-0.018747605121329,-0.0107605914773622,"TWFE Clustered SE",0.00404874704954273
"137",-0.025,-0.0232931183739738,-0.018747605121329,-0.0107605914773622,"TWFE Robust SE",0.00438965404159688
"138",-0.025,-0.0232931183739738,-0.018747605121329,-0.0107605914773622,"TWFE (drops) Clustered SE",0.00503046384736713
"139",-0.025,-0.0232931183739738,-0.018747605121329,-0.0107605914773622,"TWFE (drops) Robust SE",0.00673646955393751
"140",-0.025,-0.0232931183739738,-0.018747605121329,-0.0107605914773622,"Callaway-Sant'Anna SE",0.0126321240611477
"141",-0.025,-0.0255018959916873,-0.0200102232599082,-0.0123865281560507,"TWFE Clustered SE",0.00544154277765938
"142",-0.025,-0.0255018959916873,-0.0200102232599082,-0.0123865281560507,"TWFE Robust SE",0.00438868642014347
"143",-0.025,-0.0255018959916873,-0.0200102232599082,-0.0123865281560507,"TWFE (drops) Clustered SE",0.00709120794538343
"144",-0.025,-0.0255018959916873,-0.0200102232599082,-0.0123865281560507,"TWFE (drops) Robust SE",0.0067486982098791
"145",-0.025,-0.0255018959916873,-0.0200102232599082,-0.0123865281560507,"Callaway-Sant'Anna SE",0.0125070568076355
"146",-0.025,-0.0237187856586495,-0.0306444222539178,-0.031206868731179,"TWFE Clustered SE",0.00459385449874926
"147",-0.025,-0.0237187856586495,-0.0306444222539178,-0.031206868731179,"TWFE Robust SE",0.00439674673885929
"148",-0.025,-0.0237187856586495,-0.0306444222539178,-0.031206868731179,"TWFE (drops) Clustered SE",0.00823363873958167
"149",-0.025,-0.0237187856586495,-0.0306444222539178,-0.031206868731179,"TWFE (drops) Robust SE",0.00672570633260093
"150",-0.025,-0.0237187856586495,-0.0306444222539178,-0.031206868731179,"Callaway-Sant'Anna SE",0.0125811102154135
"151",-0.025,-0.0228593885907206,-0.017742274355009,-0.0252402741153836,"TWFE Clustered SE",0.00403433267257048
"152",-0.025,-0.0228593885907206,-0.017742274355009,-0.0252402741153836,"TWFE Robust SE",0.0043949455796428
"153",-0.025,-0.0228593885907206,-0.017742274355009,-0.0252402741153836,"TWFE (drops) Clustered SE",0.0048409610262408
"154",-0.025,-0.0228593885907206,-0.017742274355009,-0.0252402741153836,"TWFE (drops) Robust SE",0.0067401676827761
"155",-0.025,-0.0228593885907206,-0.017742274355009,-0.0252402741153836,"Callaway-Sant'Anna SE",0.012559512866793
"156",-0.025,-0.0224561264128971,-0.0190828276555627,-0.0266891640095476,"TWFE Clustered SE",0.00445943829039092
"157",-0.025,-0.0224561264128971,-0.0190828276555627,-0.0266891640095476,"TWFE Robust SE",0.00439408884298408
"158",-0.025,-0.0224561264128971,-0.0190828276555627,-0.0266891640095476,"TWFE (drops) Clustered SE",0.00574326245158014
"159",-0.025,-0.0224561264128971,-0.0190828276555627,-0.0266891640095476,"TWFE (drops) Robust SE",0.0067470203468693
"160",-0.025,-0.0224561264128971,-0.0190828276555627,-0.0266891640095476,"Callaway-Sant'Anna SE",0.0124264112902837
"161",-0.025,-0.0325912244264908,-0.0405088243190459,-0.0468034197998604,"TWFE Clustered SE",0.00305047695434701
"162",-0.025,-0.0325912244264908,-0.0405088243190459,-0.0468034197998604,"TWFE Robust SE",0.00440291797139564
"163",-0.025,-0.0325912244264908,-0.0405088243190459,-0.0468034197998604,"TWFE (drops) Clustered SE",0.00677466201965237
"164",-0.025,-0.0325912244264908,-0.0405088243190459,-0.0468034197998604,"TWFE (drops) Robust SE",0.00674470566364668
"165",-0.025,-0.0325912244264908,-0.0405088243190459,-0.0468034197998604,"Callaway-Sant'Anna SE",0.0126214596807649
"166",-0.025,-0.0221955728798609,-0.020493030852598,-0.0216948529105332,"TWFE Clustered SE",0.00392082233645379
"167",-0.025,-0.0221955728798609,-0.020493030852598,-0.0216948529105332,"TWFE Robust SE",0.00440390119535375
"168",-0.025,-0.0221955728798609,-0.020493030852598,-0.0216948529105332,"TWFE (drops) Clustered SE",0.00602540109832973
"169",-0.025,-0.0221955728798609,-0.020493030852598,-0.0216948529105332,"TWFE (drops) Robust SE",0.00674205710827519
"170",-0.025,-0.0221955728798609,-0.020493030852598,-0.0216948529105332,"Callaway-Sant'Anna SE",0.0126839604152576
"171",-0.025,-0.0245677459274307,-0.035335321600053,-0.0256961368732583,"TWFE Clustered SE",0.00376773002266564
"172",-0.025,-0.0245677459274307,-0.035335321600053,-0.0256961368732583,"TWFE Robust SE",0.00439284241727765
"173",-0.025,-0.0245677459274307,-0.035335321600053,-0.0256961368732583,"TWFE (drops) Clustered SE",0.0051645370371584
"174",-0.025,-0.0245677459274307,-0.035335321600053,-0.0256961368732583,"TWFE (drops) Robust SE",0.00674034265848555
"175",-0.025,-0.0245677459274307,-0.035335321600053,-0.0256961368732583,"Callaway-Sant'Anna SE",0.0121856691156509
"176",-0.025,-0.0159939859823573,-0.020351059967092,-0.0151821487283043,"TWFE Clustered SE",0.00508631750104685
"177",-0.025,-0.0159939859823573,-0.020351059967092,-0.0151821487283043,"TWFE Robust SE",0.00440065030724417
"178",-0.025,-0.0159939859823573,-0.020351059967092,-0.0151821487283043,"TWFE (drops) Clustered SE",0.00670306162835196
"179",-0.025,-0.0159939859823573,-0.020351059967092,-0.0151821487283043,"TWFE (drops) Robust SE",0.00672606912938656
"180",-0.025,-0.0159939859823573,-0.020351059967092,-0.0151821487283043,"Callaway-Sant'Anna SE",0.0124789514188077
"181",-0.025,-0.0240640839219389,-0.0305158115387121,-0.0440450224481573,"TWFE Clustered SE",0.00363881961100222
"182",-0.025,-0.0240640839219389,-0.0305158115387121,-0.0440450224481573,"TWFE Robust SE",0.00438798333237019
"183",-0.025,-0.0240640839219389,-0.0305158115387121,-0.0440450224481573,"TWFE (drops) Clustered SE",0.00698654195379629
"184",-0.025,-0.0240640839219389,-0.0305158115387121,-0.0440450224481573,"TWFE (drops) Robust SE",0.00672877294864658
