"","delta","TWFE","TWFE (drops)","Roth-Sant'Anna","Callaway-Sant'Anna","name","se"
"3023",-0.02,-0.0125765119676999,-0.012108855617164,-0.0518541258250627,-0.0175030556732926,"Roth-Sant'Anna SE",0.0051419572355024
"3024",-0.02,-0.0125765119676999,-0.012108855617164,-0.0518541258250627,-0.0175030556732926,"Callaway-Sant'Anna SE",0.0120868601497954
"3025",-0.02,-0.0236154188570843,-0.0204818366310806,-0.0553493505186416,-0.0202520641287021,"TWFE Clustered SE",0.00437457083774057
"3026",-0.02,-0.0236154188570843,-0.0204818366310806,-0.0553493505186416,-0.0202520641287021,"TWFE Robust SE",0.00428896529228278
"3027",-0.02,-0.0236154188570843,-0.0204818366310806,-0.0553493505186416,-0.0202520641287021,"TWFE (drops) Clustered SE",0.00453217467849782
"3028",-0.02,-0.0236154188570843,-0.0204818366310806,-0.0553493505186416,-0.0202520641287021,"TWFE (drops) Robust SE",0.00646379394950853
"3029",-0.02,-0.0236154188570843,-0.0204818366310806,-0.0553493505186416,-0.0202520641287021,"Roth-Sant'Anna SE",0.00527513072240615
"3030",-0.02,-0.0236154188570843,-0.0204818366310806,-0.0553493505186416,-0.0202520641287021,"Callaway-Sant'Anna SE",0.0119034633605609
"3031",-0.02,-0.0127473381673945,-0.0226125344877764,-0.0603913378849089,-0.0232605007582476,"TWFE Clustered SE",0.00426687545426193
"3032",-0.02,-0.0127473381673945,-0.0226125344877764,-0.0603913378849089,-0.0232605007582476,"TWFE Robust SE",0.00429836344022897
"3033",-0.02,-0.0127473381673945,-0.0226125344877764,-0.0603913378849089,-0.0232605007582476,"TWFE (drops) Clustered SE",0.00586396001484683
"3034",-0.02,-0.0127473381673945,-0.0226125344877764,-0.0603913378849089,-0.0232605007582476,"TWFE (drops) Robust SE",0.00646525783053788
"3035",-0.02,-0.0127473381673945,-0.0226125344877764,-0.0603913378849089,-0.0232605007582476,"Roth-Sant'Anna SE",0.00544191614075225
"3036",-0.02,-0.0127473381673945,-0.0226125344877764,-0.0603913378849089,-0.0232605007582476,"Callaway-Sant'Anna SE",0.0121227730226647
"3037",-0.02,-0.017301786133045,-0.0190660306024955,-0.0626525663575768,-0.0348419586062865,"TWFE Clustered SE",0.0045581819685925
"3038",-0.02,-0.017301786133045,-0.0190660306024955,-0.0626525663575768,-0.0348419586062865,"TWFE Robust SE",0.00428461057663021
"3039",-0.02,-0.017301786133045,-0.0190660306024955,-0.0626525663575768,-0.0348419586062865,"TWFE (drops) Clustered SE",0.00686514730780322
"3040",-0.02,-0.017301786133045,-0.0190660306024955,-0.0626525663575768,-0.0348419586062865,"TWFE (drops) Robust SE",0.00645987668184729
"3041",-0.02,-0.017301786133045,-0.0190660306024955,-0.0626525663575768,-0.0348419586062865,"Roth-Sant'Anna SE",0.0055342353869254
"3042",-0.02,-0.017301786133045,-0.0190660306024955,-0.0626525663575768,-0.0348419586062865,"Callaway-Sant'Anna SE",0.0122465440255835
"3043",-0.02,-0.0156389045896653,-0.0193118113573844,-0.0508198214430025,0.00951594771263864,"TWFE Clustered SE",0.00488710845762313
"3044",-0.02,-0.0156389045896653,-0.0193118113573844,-0.0508198214430025,0.00951594771263864,"TWFE Robust SE",0.00428536480771458
"3045",-0.02,-0.0156389045896653,-0.0193118113573844,-0.0508198214430025,0.00951594771263864,"TWFE (drops) Clustered SE",0.00622215458305235
"3046",-0.02,-0.0156389045896653,-0.0193118113573844,-0.0508198214430025,0.00951594771263864,"TWFE (drops) Robust SE",0.00643681162307442
"3047",-0.02,-0.0156389045896653,-0.0193118113573844,-0.0508198214430025,0.00951594771263864,"Roth-Sant'Anna SE",0.00519903546554026
"3048",-0.02,-0.0156389045896653,-0.0193118113573844,-0.0508198214430025,0.00951594771263864,"Callaway-Sant'Anna SE",0.0119223413466442
"3049",-0.02,-0.0261959497289611,-0.026856305459012,-0.0566240639553234,-0.0305529998944934,"TWFE Clustered SE",0.00414258755833837
"3050",-0.02,-0.0261959497289611,-0.026856305459012,-0.0566240639553234,-0.0305529998944934,"TWFE Robust SE",0.00428886319012602
"3051",-0.02,-0.0261959497289611,-0.026856305459012,-0.0566240639553234,-0.0305529998944934,"TWFE (drops) Clustered SE",0.00622855742289925
"3052",-0.02,-0.0261959497289611,-0.026856305459012,-0.0566240639553234,-0.0305529998944934,"TWFE (drops) Robust SE",0.00645695033816809
"3053",-0.02,-0.0261959497289611,-0.026856305459012,-0.0566240639553234,-0.0305529998944934,"Roth-Sant'Anna SE",0.00541978102047763
"3054",-0.02,-0.0261959497289611,-0.026856305459012,-0.0566240639553234,-0.0305529998944934,"Callaway-Sant'Anna SE",0.012169043687347
"3055",-0.02,-0.0172273070720031,-0.0202887092292942,-0.0507362744023014,-0.0172675943501879,"TWFE Clustered SE",0.00398495007965799
"3056",-0.02,-0.0172273070720031,-0.0202887092292942,-0.0507362744023014,-0.0172675943501879,"TWFE Robust SE",0.00428681893176442
"3057",-0.02,-0.0172273070720031,-0.0202887092292942,-0.0507362744023014,-0.0172675943501879,"TWFE (drops) Clustered SE",0.00554370374698166
"3058",-0.02,-0.0172273070720031,-0.0202887092292942,-0.0507362744023014,-0.0172675943501879,"TWFE (drops) Robust SE",0.00646343005419348
"3059",-0.02,-0.0172273070720031,-0.0202887092292942,-0.0507362744023014,-0.0172675943501879,"Roth-Sant'Anna SE",0.00498598638096188
"3060",-0.02,-0.0172273070720031,-0.0202887092292942,-0.0507362744023014,-0.0172675943501879,"Callaway-Sant'Anna SE",0.0117979075422015
"3061",-0.02,-0.0171346517204516,-0.0189599766893976,-0.0491524077461059,-0.0122396897503677,"TWFE Clustered SE",0.00431911698869889
"3062",-0.02,-0.0171346517204516,-0.0189599766893976,-0.0491524077461059,-0.0122396897503677,"TWFE Robust SE",0.00428348981285956
"3063",-0.02,-0.0171346517204516,-0.0189599766893976,-0.0491524077461059,-0.0122396897503677,"TWFE (drops) Clustered SE",0.00649959575914769
"3064",-0.02,-0.0171346517204516,-0.0189599766893976,-0.0491524077461059,-0.0122396897503677,"TWFE (drops) Robust SE",0.00644124653454243
"3065",-0.02,-0.0171346517204516,-0.0189599766893976,-0.0491524077461059,-0.0122396897503677,"Roth-Sant'Anna SE",0.00532238798237693
"3066",-0.02,-0.0171346517204516,-0.0189599766893976,-0.0491524077461059,-0.0122396897503677,"Callaway-Sant'Anna SE",0.0119294611840412
"3067",-0.02,-0.0249645772700017,-0.0221768202044347,-0.0530709231800127,-0.0280788799435052,"TWFE Clustered SE",0.00465643273854888
"3068",-0.02,-0.0249645772700017,-0.0221768202044347,-0.0530709231800127,-0.0280788799435052,"TWFE Robust SE",0.00428491265061493
"3069",-0.02,-0.0249645772700017,-0.0221768202044347,-0.0530709231800127,-0.0280788799435052,"TWFE (drops) Clustered SE",0.00737457615722696
"3070",-0.02,-0.0249645772700017,-0.0221768202044347,-0.0530709231800127,-0.0280788799435052,"TWFE (drops) Robust SE",0.00645601698755724
"3071",-0.02,-0.0249645772700017,-0.0221768202044347,-0.0530709231800127,-0.0280788799435052,"Roth-Sant'Anna SE",0.0056046559434405
"3072",-0.02,-0.0249645772700017,-0.0221768202044347,-0.0530709231800127,-0.0280788799435052,"Callaway-Sant'Anna SE",0.0120452450920067
"3073",-0.02,-0.0163324085297115,-0.0147329385634062,-0.0476138767304465,-0.00378850386902851,"TWFE Clustered SE",0.00390784451576681
"3074",-0.02,-0.0163324085297115,-0.0147329385634062,-0.0476138767304465,-0.00378850386902851,"TWFE Robust SE",0.00428644025589454
